timestep,reward,q_value,loss
187,201.4632455219318,,
188,201.46337878628577,,
189,201.46346727523314,,
190,201.46351255295116,,
191,201.46351620670674,,
192,201.46347983017287,,
193,201.4634050091867,,
194,201.46329330983082,,
195,201.46314626871106,,
196,201.46296538530046,,
197,201.46275211621597,,
198,201.46250787129458,,
199,201.46223401133528,,
